,Comments_youtube,Label,COMMENTS_YOUTUBE,TOKENIZATION,STOP_REMOVAL,STEMMING
61,lbh baik yg di pelosok kampung2 itu masuk sklh aja klo di kota2 klo bisa daring kecuali yg mo ujian karna jrngn internet bagus yg penting tugas jgn numpuk sederhana sja tapi tegas,positif,lbh baik yg di pelosok kampung2 itu masuk sklh aja klo di kota2 klo bisa daring kecuali yg mo ujian karna jrngn internet bagus yg penting tugas jgn numpuk sederhana sja tapi tegas,"['lbh', 'baik', 'yg', 'di', 'pelosok', 'kampung2', 'itu', 'masuk', 'sklh', 'aja', 'klo', 'di', 'kota2', 'klo', 'bisa', 'daring', 'kecuali', 'yg', 'mo', 'ujian', 'karna', 'jrngn', 'internet', 'bagus', 'yg', 'penting', 'tugas', 'jgn', 'numpuk', 'sederhana', 'sja', 'tapi', 'tegas']",lbh yg pelosok kampung2 masuk sklh aja klo kota2 klo daring kecuali yg mo ujian karna jrngn internet bagus yg tugas jgn numpuk sederhana sja,lbh yg pelosok kampung2 masuk sklh aja klo kota2 klo daring kecuali yg mo uji karna jrngn internet bagus yg tugas jgn numpuk sederhana sja
62,kenapa bisa mikirin hal kaya gini di saat situasi masih stuck disini2 aja menurut saya nunggu vaksin baru aman,negatif,kenapa bisa mikirin hal kaya gini di saat situasi masih stuck disini2 aja menurut saya nunggu vaksin baru aman,"['kenapa', 'bisa', 'mikirin', 'hal', 'kaya', 'gini', 'di', 'saat', 'situasi', 'masih', 'stuck', 'disini2', 'aja', 'menurut', 'saya', 'nunggu', 'vaksin', 'baru', 'aman']",mikirin kaya gini situasi stuck disini2 aja nunggu vaksin aman,mikirin kaya gin situasi stuck disini2 aja nunggu vaksin aman
63,tambah ga karuan situasinya jika opsinya boleh sekolah boleh tidak cb pikir jk hari ini anak sekolah besok ortu bilang tidak usah sekolah runyam ,negatif,tambah ga karuan situasinya jika opsinya boleh sekolah boleh tidak cb pikir jk hari ini anak sekolah besok ortu bilang tidak usah sekolah runyam ,"['tambah', 'ga', 'karuan', 'situasinya', 'jika', 'opsinya', 'boleh', 'sekolah', 'boleh', 'tidak', 'cb', 'pikir', 'jk', 'hari', 'ini', 'anak', 'sekolah', 'besok', 'ortu', 'bilang', 'tidak', 'usah', 'sekolah', 'runyam', '']",ga karuan situasinya opsinya sekolah cb pikir jk anak sekolah besok ortu bilang sekolah runyam ,ga karuan situasi opsi sekolah cb pikir jk anak sekolah besok ortu bilang sekolah runyam
64,pak nadim tolong ya sekolah seperti biasa didaerah saya semua sudah berjalan dengan normal,positif,pak nadim tolong ya sekolah seperti biasa didaerah saya semua sudah berjalan dengan normal,"['pak', 'nadim', 'tolong', 'ya', 'sekolah', 'seperti', 'biasa', 'didaerah', 'saya', 'semua', 'sudah', 'berjalan', 'dengan', 'normal']",nadim tolong ya sekolah didaerah berjalan normal,nadim tolong ya sekolah daerah jalan normal
65,pak online lagi,negatif,pak online lagi,"['pak', 'online', 'lagi']",online,online
67,vaksin dulu aja sekalian kan katanya bentar lagi udh ada vaksinnya klo sekolah jg mungkin gabakal serentak semua kls yg masuk,negatif,vaksin dulu aja sekalian kan katanya bentar lagi udh ada vaksinnya klo sekolah jg mungkin gabakal serentak semua kls yg masuk,"['vaksin', 'dulu', 'aja', 'sekalian', 'kan', 'katanya', 'bentar', 'lagi', 'udh', 'ada', 'vaksinnya', 'klo', 'sekolah', 'jg', 'mungkin', 'gabakal', 'serentak', 'semua', 'kls', 'yg', 'masuk']",vaksin aja bentar udh vaksinnya klo sekolah jg gabakal serentak kls yg masuk,vaksin aja bentar udh vaksin klo sekolah jg gabakal serentak kls yg masuk
68,mending sekolah masuk tatap muka dah biar ekonomi dagang gue normal amien ,positif,mending sekolah masuk tatap muka dah biar ekonomi dagang gue normal amien ,"['mending', 'sekolah', 'masuk', 'tatap', 'muka', 'dah', 'biar', 'ekonomi', 'dagang', 'gue', 'normal', 'amien', '']",mending sekolah masuk tatap muka dah biar ekonomi dagang gue normal amien ,mending sekolah masuk tatap muka dah biar ekonomi dagang gue normal amien
69,enak dirumah daring,negatif,enak dirumah daring,"['enak', 'dirumah', 'daring']",enak dirumah daring,enak rumah daring
70,kangen gua masuk bk,positif,kangen gua masuk bk,"['kangen', 'gua', 'masuk', 'bk']",kangen gua masuk bk,kangen gua masuk bk
72,allhamdullilah semoga cpt terlaksana,positif,allhamdullilah semoga cpt terlaksana,"['allhamdullilah', 'semoga', 'cpt', 'terlaksana']",allhamdullilah semoga cpt terlaksana,allhamdullilah moga cpt laksana
73,ya udah nyaman daring ,negatif,ya udah nyaman daring ,"['ya', 'udah', 'nyaman', 'daring', '']",ya udah nyaman daring ,ya udah nyaman daring
74,iya enak daring,negatif,iya enak daring,"['iya', 'enak', 'daring']",iya enak daring,iya enak daring
78,alhamdulillah,positif,alhamdulillah,['alhamdulillah'],alhamdulillah,alhamdulillah
80,bener pak masuk aj soalnya capek main hp melulu anaknya,positif,bener pak masuk aj soalnya capek main hp melulu anaknya,"['bener', 'pak', 'masuk', 'aj', 'soalnya', 'capek', 'main', 'hp', 'melulu', 'anaknya']",bener masuk aj capek main hp melulu anaknya,bener masuk aj capek main hp melulu anak
81,alhamdulillah sekolah jngn dibuat sanksi kerumunan ya pak ,positif,alhamdulillah sekolah jngn dibuat sanksi kerumunan ya pak ,"['alhamdulillah', 'sekolah', 'jngn', 'dibuat', 'sanksi', 'kerumunan', 'ya', 'pak', '']",alhamdulillah sekolah jngn sanksi kerumunan ya ,alhamdulillah sekolah jngn sanksi kerumun ya
82,alhamdulillah,positif,alhamdulillah,['alhamdulillah'],alhamdulillah,alhamdulillah
83,kalau memang diperbolehkan los ya bukak saja secara keseluruhan sama saja ini mendikbut seolah olah lepas tanggung jawab ,negatif,kalau memang diperbolehkan los ya bukak saja secara keseluruhan sama saja ini mendikbut seolah olah lepas tanggung jawab ,"['kalau', 'memang', 'diperbolehkan', 'los', 'ya', 'bukak', 'saja', 'secara', 'keseluruhan', 'sama', 'saja', 'ini', 'mendikbut', 'seolah', 'olah', 'lepas', 'tanggung', 'jawab', '']",diperbolehkan los ya bukak mendikbut olah lepas tanggung ,boleh los ya bukak mendikbut olah lepas tanggung
84,alhamdulillah,positif,alhamdulillah,['alhamdulillah'],alhamdulillah,alhamdulillah
85,lulus dulu lah pak nanggung tinggal 1 semester lagi loh kenaikan kelas masalahnya nanti di tagih catatan ama tugas mampus saya ,negatif,lulus dulu lah pak nanggung tinggal 1 semester lagi loh kenaikan kelas masalahnya nanti di tagih catatan ama tugas mampus saya ,"['lulus', 'dulu', 'lah', 'pak', 'nanggung', 'tinggal', '1', 'semester', 'lagi', 'loh', 'kenaikan', 'kelas', 'masalahnya', 'nanti', 'di', 'tagih', 'catatan', 'ama', 'tugas', 'mampus', 'saya', '']",lulus nanggung tinggal 1 semester loh kenaikan kelas tagih catatan ama tugas mampus ,lulus nanggung tinggal 1 semester loh naik kelas tagih catat ama tugas mampus
88,ya allah di saya zona merah lagi pa lockdown lagi ini jgn sampe daerah lain yg statusnya udh turun naik lagi gara gara masuk sekolah yang komen halah bacod bilang aja nolep gua g percaya lg korona gua kgn sekolah y terserah kamu kamu mati jgn bawa bawa sy kgn sklh sama woy tapi sadar nyawa kita lebih penting,negatif,ya allah di saya zona merah lagi pa lockdown lagi ini jgn sampe daerah lain yg statusnya udh turun naik lagi gara gara masuk sekolah yang komen halah bacod bilang aja nolep gua g percaya lg korona gua kgn sekolah y terserah kamu kamu mati jgn bawa bawa sy kgn sklh sama woy tapi sadar nyawa kita lebih penting,"['ya', 'allah', 'di', 'saya', 'zona', 'merah', 'lagi', 'pa', 'lockdown', 'lagi', 'ini', 'jgn', 'sampe', 'daerah', 'lain', 'yg', 'statusnya', 'udh', 'turun', 'naik', 'lagi', 'gara', 'gara', 'masuk', 'sekolah', 'yang', 'komen', 'halah', 'bacod', 'bilang', 'aja', 'nolep', 'gua', 'g', 'percaya', 'lg', 'korona', 'gua', 'kgn', 'sekolah', 'y', 'terserah', 'kamu', 'kamu', 'mati', 'jgn', 'bawa', 'bawa', 'sy', 'kgn', 'sklh', 'sama', 'woy', 'tapi', 'sadar', 'nyawa', 'kita', 'lebih', 'penting']",ya allah zona merah pa lockdown jgn sampe daerah yg statusnya udh turun gara gara masuk sekolah komen halah bacod bilang aja nolep gua g percaya lg korona gua kgn sekolah y terserah mati jgn bawa bawa sy kgn sklh woy sadar nyawa,ya allah zona merah pa lockdown jgn sampe daerah yg status udh turun gara gara masuk sekolah komen halah bacod bilang aja nolep gua g percaya lg korona gua kgn sekolah y serah mati jgn bawa bawa sy kgn sklh woy sadar nyawa
89,belajar lah dari kota saya ponorogo sekolah masuk terjadi kenaikan angka covid yg dulunya hanya 3 6 orang terinfeksi setelah tatap muka 40 70 orang terinfeksi,negatif,belajar lah dari kota saya ponorogo sekolah masuk terjadi kenaikan angka covid yg dulunya hanya 3 6 orang terinfeksi setelah tatap muka 40 70 orang terinfeksi,"['belajar', 'lah', 'dari', 'kota', 'saya', 'ponorogo', 'sekolah', 'masuk', 'terjadi', 'kenaikan', 'angka', 'covid', 'yg', 'dulunya', 'hanya', '3', '6', 'orang', 'terinfeksi', 'setelah', 'tatap', 'muka', '40', '70', 'orang', 'terinfeksi']",belajar kota ponorogo sekolah masuk kenaikan angka covid yg dulunya 3 6 orang terinfeksi tatap muka 40 70 orang terinfeksi,ajar kota ponorogo sekolah masuk naik angka covid yg dulunya 3 6 orang infeksi tatap muka 40 70 orang infeksi
90,pulang nya di cepetkan aja pak soalnya kasian kalau sampai sore,positif,pulang nya di cepetkan aja pak soalnya kasian kalau sampai sore,"['pulang', 'nya', 'di', 'cepetkan', 'aja', 'pak', 'soalnya', 'kasian', 'kalau', 'sampai', 'sore']",pulang nya cepetkan aja kasian sore,pulang nya cepetkan aja kasi sore
91,stress ni otak belajar online anak indonesia dibodohi oleh covid19,positif,stress ni otak belajar online anak indonesia dibodohi oleh covid19,"['stress', 'ni', 'otak', 'belajar', 'online', 'anak', 'indonesia', 'dibodohi', 'oleh', 'covid19']",stress ni otak belajar online anak indonesia dibodohi covid19,stress ni otak ajar online anak indonesia bodoh covid19
92,tuk kota banda aceh udh bljar ttap muka dri dlu d warkop kafe banda aceh kota seribu warung kopi ,positif,tuk kota banda aceh udh bljar ttap muka dri dlu d warkop kafe banda aceh kota seribu warung kopi ,"['tuk', 'kota', 'banda', 'aceh', 'udh', 'bljar', 'ttap', 'muka', 'dri', 'dlu', 'd', 'warkop', 'kafe', 'banda', 'aceh', 'kota', 'seribu', 'warung', 'kopi', '']",tuk kota banda aceh udh bljar ttap muka dri dlu d warkop kafe banda aceh kota seribu warung kopi ,tuk kota banda aceh udh bljar ttap muka dri dlu d warkop kafe banda aceh kota ribu warung kopi
93,aing blomm siap masi enak di rumah,negatif,aing blomm siap masi enak di rumah,"['aing', 'blomm', 'siap', 'masi', 'enak', 'di', 'rumah']",aing blomm masi enak rumah,aing blomm mas enak rumah
94,tolong pikirkan baik baik perjalanan dari rumah ke sekolah akankah aman ini yang menjadi penyebaran covid di sekolah,negatif,tolong pikirkan baik baik perjalanan dari rumah ke sekolah akankah aman ini yang menjadi penyebaran covid di sekolah,"['tolong', 'pikirkan', 'baik', 'baik', 'perjalanan', 'dari', 'rumah', 'ke', 'sekolah', 'akankah', 'aman', 'ini', 'yang', 'menjadi', 'penyebaran', 'covid', 'di', 'sekolah']",tolong pikirkan perjalanan rumah sekolah aman penyebaran covid sekolah,tolong pikir jalan rumah sekolah aman sebar covid sekolah
95,eropa walau lockdown anak anak dari tk sampai universitas nggak ada online pak masuk terus mereka nggak mau mengorbankan masa depan anak ,positif,eropa walau lockdown anak anak dari tk sampai universitas nggak ada online pak masuk terus mereka nggak mau mengorbankan masa depan anak ,"['eropa', 'walau', 'lockdown', 'anak', 'anak', 'dari', 'tk', 'sampai', 'universitas', 'nggak', 'ada', 'online', 'pak', 'masuk', 'terus', 'mereka', 'nggak', 'mau', 'mengorbankan', 'masa', 'depan', 'anak', '']",eropa lockdown anak anak tk universitas nggak online masuk nggak mengorbankan anak ,eropa lockdown anak anak tk universitas nggak online masuk nggak korban anak
98,kok anak indonesia banyak yg putus sekolah kenapa tuh pak,positif,kok anak indonesia banyak yg putus sekolah kenapa tuh pak,"['kok', 'anak', 'indonesia', 'banyak', 'yg', 'putus', 'sekolah', 'kenapa', 'tuh', 'pak']",anak indonesia yg putus sekolah tuh,anak indonesia yg putus sekolah tuh
99,alhamdulillah banyak bisa maen,positif,alhamdulillah banyak bisa maen,"['alhamdulillah', 'banyak', 'bisa', 'maen']",alhamdulillah maen,alhamdulillah maen
100,sekolah tatap muka harus segera di mulai karena kalau murid yg baru masuk sd itu tidak bisa seperti kakak kelasnya karena masih dasar sekolah drmh sangat sulit buat yg baru masuk sekolah dasar sd kalau masih begini generasi bisa bodoh,positif,sekolah tatap muka harus segera di mulai karena kalau murid yg baru masuk sd itu tidak bisa seperti kakak kelasnya karena masih dasar sekolah drmh sangat sulit buat yg baru masuk sekolah dasar sd kalau masih begini generasi bisa bodoh,"['sekolah', 'tatap', 'muka', 'harus', 'segera', 'di', 'mulai', 'karena', 'kalau', 'murid', 'yg', 'baru', 'masuk', 'sd', 'itu', 'tidak', 'bisa', 'seperti', 'kakak', 'kelasnya', 'karena', 'masih', 'dasar', 'sekolah', 'drmh', 'sangat', 'sulit', 'buat', 'yg', 'baru', 'masuk', 'sekolah', 'dasar', 'sd', 'kalau', 'masih', 'begini', 'generasi', 'bisa', 'bodoh']",sekolah tatap muka murid yg masuk sd kakak kelasnya dasar sekolah drmh sulit yg masuk sekolah dasar sd generasi bodoh,sekolah tatap muka murid yg masuk sd kakak kelas dasar sekolah drmh sulit yg masuk sekolah dasar sd generasi bodoh
101,mau bodoh apa mati kalo bodoh bisa pintar kalo mati y tetap mati g bisa hidup lagi,negatif,mau bodoh apa mati kalo bodoh bisa pintar kalo mati y tetap mati g bisa hidup lagi,"['mau', 'bodoh', 'apa', 'mati', 'kalo', 'bodoh', 'bisa', 'pintar', 'kalo', 'mati', 'y', 'tetap', 'mati', 'g', 'bisa', 'hidup', 'lagi']",bodoh mati kalo bodoh pintar kalo mati y mati g hidup,bodoh mati kalo bodoh pintar kalo mati y mati g hidup
102,sepertinya kita perlu sistem baru buat belajar klau pendemi msh blm pasti kpn akan berakhir sepertinya kita perlu sistem vr untuk belajar tatap muka wkwkw,positif,sepertinya kita perlu sistem baru buat belajar klau pendemi msh blm pasti kpn akan berakhir sepertinya kita perlu sistem vr untuk belajar tatap muka wkwkw,"['sepertinya', 'kita', 'perlu', 'sistem', 'baru', 'buat', 'belajar', 'klau', 'pendemi', 'msh', 'blm', 'pasti', 'kpn', 'akan', 'berakhir', 'sepertinya', 'kita', 'perlu', 'sistem', 'vr', 'untuk', 'belajar', 'tatap', 'muka', 'wkwkw']",sistem belajar klau pendemi msh blm kpn sistem vr belajar tatap muka wkwkw,sistem ajar klau demi msh blm kpn sistem vr ajar tatap muka wkwkw
104,belajar daring bikin anak bodoh dan kecanduan game belajar hanya 15 menit lalu game tak terbatas ortu sibuk sehingga anak kecanduan game ndak mau belajar lagi sebagian besar ortu menghendaki ,positif,belajar daring bikin anak bodoh dan kecanduan game belajar hanya 15 menit lalu game tak terbatas ortu sibuk sehingga anak kecanduan game ndak mau belajar lagi sebagian besar ortu menghendaki ,"['belajar', 'daring', 'bikin', 'anak', 'bodoh', 'dan', 'kecanduan', 'game', 'belajar', 'hanya', '15', 'menit', 'lalu', 'game', 'tak', 'terbatas', 'ortu', 'sibuk', 'sehingga', 'anak', 'kecanduan', 'game', 'ndak', 'mau', 'belajar', 'lagi', 'sebagian', 'besar', 'ortu', 'menghendaki', '']",belajar daring bikin anak bodoh kecanduan game belajar 15 menit game terbatas ortu sibuk anak kecanduan game ndak belajar ortu ,ajar daring bikin anak bodoh candu game ajar 15 menit game batas ortu sibuk anak candu game ndak ajar ortu
105,lebih baik pribadi saja yang mau tatap muka silahkan yang mau daring silahkan ,positif,lebih baik pribadi saja yang mau tatap muka silahkan yang mau daring silahkan ,"['lebih', 'baik', 'pribadi', 'saja', 'yang', 'mau', 'tatap', 'muka', 'silahkan', 'yang', 'mau', 'daring', 'silahkan', '']",pribadi tatap muka silahkan daring silahkan ,pribadi tatap muka silah daring silah
106,gua belum siap gara buku pelajaran ke campur kurang biaya buat beli buku ya allah tolong saya,negatif,gua belum siap gara buku pelajaran ke campur kurang biaya buat beli buku ya allah tolong saya,"['gua', 'belum', 'siap', 'gara', 'buku', 'pelajaran', 'ke', 'campur', 'kurang', 'biaya', 'buat', 'beli', 'buku', 'ya', 'allah', 'tolong', 'saya']",gua gara buku pelajaran campur biaya beli buku ya allah tolong,gua gara buku ajar campur biaya beli buku ya allah tolong
107,jadi malas sekolah,negatif,jadi malas sekolah,"['jadi', 'malas', 'sekolah']",malas sekolah,malas sekolah
108,maaf pk mentri tolong cepat bisa sekolah lagi ank2 ini mol di buka pasar gapernah tutup kenapa ank2 ga di ijinkan beljar tatap muka di rumah ank2 pada main ke hp akhirnya matanya pada sakit jadi makin bodoh tolong pk di perhatikan keluhan ibu2 ini ,positif,maaf pk mentri tolong cepat bisa sekolah lagi ank2 ini mol di buka pasar gapernah tutup kenapa ank2 ga di ijinkan beljar tatap muka di rumah ank2 pada main ke hp akhirnya matanya pada sakit jadi makin bodoh tolong pk di perhatikan keluhan ibu2 ini ,"['maaf', 'pk', 'mentri', 'tolong', 'cepat', 'bisa', 'sekolah', 'lagi', 'ank2', 'ini', 'mol', 'di', 'buka', 'pasar', 'gapernah', 'tutup', 'kenapa', 'ank2', 'ga', 'di', 'ijinkan', 'beljar', 'tatap', 'muka', 'di', 'rumah', 'ank2', 'pada', 'main', 'ke', 'hp', 'akhirnya', 'matanya', 'pada', 'sakit', 'jadi', 'makin', 'bodoh', 'tolong', 'pk', 'di', 'perhatikan', 'keluhan', 'ibu2', 'ini', '']",maaf pk mentri tolong cepat sekolah ank2 mol buka pasar gapernah tutup ank2 ga ijinkan beljar tatap muka rumah ank2 main hp matanya sakit bodoh tolong pk perhatikan keluhan ibu2 ,maaf pk tri tolong cepat sekolah ank2 mol buka pasar gapernah tutup ank2 ga ijinkan beljar tatap muka rumah ank2 main hp mata sakit bodoh tolong pk perhati keluh ibu2
109,jika dampak covid 19 membludak siapa yang akan bertanggung jawab ,negatif,jika dampak covid 19 membludak siapa yang akan bertanggung jawab ,"['jika', 'dampak', 'covid', '19', 'membludak', 'siapa', 'yang', 'akan', 'bertanggung', 'jawab', '']",dampak covid 19 membludak bertanggung ,dampak covid 19 membludak tanggung
110,pdhl lebih enak online,negatif,pdhl lebih enak online,"['pdhl', 'lebih', 'enak', 'online']",pdhl enak online,pdhl enak online
111,alhamdulillah ,positif,alhamdulillah ,"['alhamdulillah', '']",alhamdulillah ,alhamdulillah
112,vaksin dulu baru tatap muka ,negatif,vaksin dulu baru tatap muka ,"['vaksin', 'dulu', 'baru', 'tatap', 'muka', '']",vaksin tatap muka ,vaksin tatap muka
113,alhamdulillah,positif,alhamdulillah,['alhamdulillah'],alhamdulillah,alhamdulillah
114,iya supa tidak bodo ,positif,iya supa tidak bodo ,"['iya', 'supa', 'tidak', 'bodo', '']",iya supa bodo ,iya supa bodo
